#     t                x                y                z                vx               vy               vz               m
      2.39991680       0.91554108      -0.05460746      -0.02406283       0.21802483       1.16520401       0.01761745       0.71709857 
      2.41491628       0.91867786      -0.03712291      -0.02379508       0.20027804       1.16609139       0.01808049       0.71709857 
      2.42991576       0.92154944      -0.01962762      -0.02352047       0.18260532       1.16663683       0.01853489       0.71709857 
      2.44491524       0.92415701      -0.00212671      -0.02323912       0.16501530       1.16684517       0.01898054       0.71709857 
      2.45991472       0.92650074       0.01537484      -0.02295113       0.14751665       1.16672005       0.01941729       0.71709857 
      2.47491420       0.92858222       0.03287203      -0.02265665       0.13011741       1.16626706       0.01984505       0.71709857 
      2.48991368       0.93040397       0.05036001      -0.02235583       0.11282495       1.16549291       0.02026376       0.71709857 
      2.50491316       0.93196762       0.06783404      -0.02204880       0.09564662       1.16440335       0.02067336       0.71709857 
      2.51991264       0.93327494       0.08528943      -0.02173573       0.07858953       1.16300426       0.02107377       0.71709857 
      2.53491212       0.93432598       0.10272143      -0.02141666       0.06166138       1.16129956       0.02146490       0.71709857 
      2.54991160       0.93512436       0.12012562      -0.02109182       0.04486786       1.15929746       0.02184676       0.71709857 
      2.56491108       0.93567232       0.13749764      -0.02076132       0.02821500       1.15700454       0.02221932       0.71709857 
      2.57991056       0.93597202       0.15483321      -0.02042532       0.01170862       1.15442726       0.02258257       0.71709857 
      2.59491004       0.93602513       0.17212800      -0.02008394      -0.00464541       1.15157154       0.02293648       0.71709857 
      2.60990952       0.93583315       0.18937773      -0.01973729      -0.02084132       1.14844315       0.02328101       0.71709857 
      2.62490900       0.93539986       0.20657861      -0.01938556      -0.03687505       1.14505037       0.02361624       0.71709857 
      2.63990848       0.93472774       0.22372676      -0.01902887      -0.05274207       1.14139997       0.02394217       0.71709857 
      2.65490796       0.93381929       0.24081836      -0.01866738      -0.06843805       1.13749874       0.02425884       0.71709857 
      2.66990744       0.93267592       0.25784940      -0.01830119      -0.08395809       1.13335227       0.02456624       0.71709857 
      2.68490692       0.93130086       0.27481637      -0.01793045      -0.09929886       1.12896804       0.02486442       0.71709857 
      2.69990640       0.92969744       0.29171596      -0.01755532      -0.11445743       1.12435360       0.02515347       0.71709857 
      2.71490588       0.92786843       0.30854478      -0.01717593      -0.12943069       1.11951577       0.02543345       0.71709857 
      2.72990536       0.92581658       0.32529951      -0.01679240      -0.14421570       1.11446130       0.02570439       0.71709857 
      2.74490484       0.92354307       0.34197638      -0.01640486      -0.15880839       1.10919545       0.02596633       0.71709857 
      2.75990432       0.92105249       0.35857286      -0.01601347      -0.17320789       1.10372664       0.02621940       0.71709857 
      2.77490380       0.91834777       0.37508597      -0.01561835      -0.18741209       1.09806156       0.02646368       0.71709857 
      2.78990328       0.91543182       0.39151283      -0.01521964      -0.20141913       1.09220683       0.02669925       0.71709857 
      2.80490276       0.91230698       0.40785036      -0.01481745      -0.21522675       1.08616849       0.02692617       0.71709857 
